area,crimeType,count,year,month,day,hour,festival,riskLevel
Muthiahpuram,theft,2,2024,9,23,10,Christmas,moderate
Millerpuram,assault,10,2023,9,19,6,Pongal,high
Pearl City,murder,2,2024,1,11,9,,high
Mattakadai,vandalism,1,2023,10,5,7,Christmas,high
Millerpuram,vandalism,1,2024,11,27,4,Pongal,high
Thoothukudi Port,vandalism,4,2024,4,26,7,Vishu,moderate
Third Mile,drug abuse,6,2023,10,25,9,New Year,low
Millerpuram,drug abuse,9,2023,12,26,2,Ayudha Pooja,low
Nazreth,drug abuse,9,2024,6,21,19,Christmas,moderate
Mattakadai,drug abuse,4,2024,2,14,21,Vishu,high
New Colony,murder,10,2023,3,4,0,Ayudha Pooja,high
Nazreth,robbery,10,2023,10,21,13,Vishu,high
Nazreth,vandalism,10,2024,1,17,3,Vishu,moderate
Muthiahpuram,robbery,4,2024,2,8,9,Pongal,moderate
Thoothukudi Port,robbery,5,2024,9,20,21,,low
Thoothukudi Port,theft,3,2023,8,2,5,Pongal,moderate
Muthiahpuram,assault,8,2024,10,18,3,Vishu,moderate
Nazreth,vandalism,2,2023,1,24,4,Christmas,moderate
New Colony,robbery,6,2023,1,21,14,New Year,low
Third Mile,drug abuse,2,2024,2,13,15,Pongal,high
Thoothukudi Port,harassment,8,2024,6,2,19,Ayudha Pooja,low
Tiruchendur Road,robbery,7,2024,12,29,17,Diwali,low
New Colony,harassment,7,2024,4,21,20,Diwali,high
Pearl City,assault,8,2024,7,12,9,New Year,moderate
Kovilpillai Nagar,assault,4,2023,8,2,9,Pongal,low
Nazreth,drug abuse,5,2024,6,15,14,Ayudha Pooja,low
Athimarapatti,vandalism,6,2023,1,17,12,Vishu,high
Athimarapatti,vandalism,2,2023,3,28,0,Ayudha Pooja,moderate
Mattakadai,drug abuse,1,2024,8,16,1,Diwali,moderate
Mattakadai,drug abuse,6,2024,3,15,8,New Year,low
Bryant Nagar,assault,1,2023,5,31,7,Vishu,low
Therespuram,murder,7,2024,3,24,13,,low
Therespuram,theft,1,2023,5,14,6,Diwali,high
Bryant Nagar,vandalism,8,2024,9,19,15,Christmas,low
Mattakadai,harassment,5,2023,10,12,17,Ayudha Pooja,high
Kovilpillai Nagar,murder,3,2024,2,16,20,Pongal,low
Beach Road,drug abuse,1,2024,1,24,14,Vishu,low
Third Mile,vandalism,1,2023,6,21,6,Ayudha Pooja,high
New Colony,robbery,2,2023,1,10,3,,low
Victoria Extension,robbery,5,2024,12,18,8,Christmas,high
New Colony,vandalism,8,2023,12,16,8,,moderate
Kovilpillai Nagar,vandalism,3,2023,1,10,3,New Year,high
Kovilpillai Nagar,assault,7,2023,12,20,18,Christmas,moderate
Pearl City,murder,6,2024,6,20,19,,moderate
Thoothukudi Port,theft,10,2024,10,29,1,Christmas,low
Kovilpillai Nagar,murder,8,2023,3,17,21,New Year,moderate
Mattakadai,vandalism,10,2023,9,22,6,Diwali,high
Therespuram,harassment,10,2024,9,1,21,Vishu,moderate
Pearl City,robbery,4,2023,4,15,13,Pongal,low
Mattakadai,harassment,4,2024,7,28,20,Christmas,moderate
Pearl City,robbery,2,2024,7,19,0,New Year,low
Bryant Nagar,theft,8,2023,11,3,2,New Year,high
Victoria Extension,drug abuse,4,2024,3,23,11,Ayudha Pooja,moderate
New Colony,assault,10,2024,7,24,7,New Year,moderate
Victoria Extension,vandalism,6,2024,3,12,14,Diwali,low
Tiruchendur Road,harassment,4,2024,5,14,14,Christmas,high
Mattakadai,assault,6,2023,7,1,18,Diwali,low
Muthiahpuram,robbery,5,2024,2,10,11,New Year,moderate
Muthiahpuram,vandalism,6,2023,6,21,4,Diwali,low
Mattakadai,robbery,6,2023,8,24,11,,high
New Colony,assault,10,2023,10,7,15,Ayudha Pooja,high
Therespuram,theft,1,2024,2,5,5,Pongal,high
Millerpuram,harassment,2,2023,3,12,4,,high
Bryant Nagar,murder,3,2024,1,23,22,Vishu,moderate
Mattakadai,drug abuse,6,2024,2,12,3,New Year,moderate
New Colony,murder,8,2023,5,30,1,Christmas,high
Third Mile,harassment,7,2024,9,13,21,Pongal,low
Kovilpillai Nagar,theft,8,2023,3,15,19,Vishu,moderate
Muthiahpuram,drug abuse,7,2024,8,24,12,Ayudha Pooja,moderate
Athimarapatti,drug abuse,3,2024,12,13,12,New Year,moderate
Third Mile,harassment,1,2023,8,27,21,Pongal,moderate
Millerpuram,vandalism,8,2024,12,16,18,Ayudha Pooja,low
Mattakadai,vandalism,8,2023,5,21,19,Ayudha Pooja,high
Therespuram,theft,5,2023,12,6,22,Vishu,moderate
Kovilpillai Nagar,drug abuse,4,2023,10,1,14,,low
Mattakadai,assault,5,2023,6,28,10,Ayudha Pooja,low
Victoria Extension,drug abuse,1,2024,5,29,22,New Year,high
Muthiahpuram,vandalism,10,2023,3,8,6,Diwali,low
Mattakadai,vandalism,4,2024,11,9,23,,moderate
Victoria Extension,vandalism,1,2023,3,20,8,Vishu,high
Beach Road,drug abuse,8,2024,1,29,22,Diwali,low
Thoothukudi Port,theft,7,2024,7,20,21,Christmas,low
Therespuram,theft,4,2023,9,15,2,Ayudha Pooja,moderate
Thoothukudi Port,assault,7,2023,9,7,8,New Year,moderate
Therespuram,assault,7,2024,7,31,23,Ayudha Pooja,moderate
Victoria Extension,assault,3,2024,12,3,11,Ayudha Pooja,moderate
Millerpuram,harassment,2,2023,5,3,11,Pongal,high
Thoothukudi Port,assault,3,2023,5,26,8,Ayudha Pooja,high
Bryant Nagar,robbery,7,2024,10,3,17,,high
Pearl City,vandalism,10,2024,8,6,3,New Year,low
Therespuram,drug abuse,8,2024,3,17,3,Christmas,moderate
Beach Road,drug abuse,1,2024,8,6,1,New Year,moderate
Kovilpillai Nagar,harassment,9,2023,2,2,4,Christmas,low
Muthiahpuram,murder,1,2023,1,21,3,Diwali,moderate
Mattakadai,robbery,5,2023,12,9,6,Diwali,high
Pearl City,murder,1,2023,7,6,1,New Year,high
Muthiahpuram,harassment,2,2023,6,13,10,Pongal,moderate
Nazreth,murder,8,2023,8,2,5,,low
Mattakadai,drug abuse,9,2024,3,14,16,Christmas,low
Bryant Nagar,murder,3,2023,11,8,2,Christmas,moderate
Therespuram,murder,4,2024,5,28,8,New Year,low
Therespuram,theft,3,2024,8,17,15,Vishu,high
Nazreth,vandalism,8,2024,11,8,2,Diwali,low
New Colony,assault,4,2024,12,17,12,Vishu,low
Mattakadai,harassment,10,2024,12,3,0,,moderate
Tiruchendur Road,drug abuse,5,2023,4,11,6,Diwali,high
Therespuram,murder,3,2023,2,10,1,Christmas,moderate
Kovilpillai Nagar,harassment,10,2023,12,8,15,Ayudha Pooja,low
Mattakadai,theft,2,2023,12,4,21,New Year,moderate
Nazreth,robbery,7,2024,6,18,18,Christmas,high
Thoothukudi Port,assault,5,2024,4,7,7,Vishu,moderate
Thoothukudi Port,harassment,1,2023,8,29,17,Christmas,moderate
Kovilpillai Nagar,robbery,3,2023,3,23,17,Diwali,high
Thoothukudi Port,assault,5,2024,11,25,20,Pongal,moderate
Muthiahpuram,harassment,1,2024,12,11,18,New Year,high
Kovilpillai Nagar,murder,6,2023,12,15,1,,low
Nazreth,vandalism,7,2024,5,11,13,Vishu,moderate
New Colony,murder,2,2024,1,13,16,,moderate
Therespuram,murder,3,2024,3,30,21,Christmas,moderate
Athimarapatti,assault,1,2023,3,22,19,Pongal,moderate
Bryant Nagar,drug abuse,4,2023,12,25,5,Ayudha Pooja,low
Bryant Nagar,vandalism,9,2023,5,17,23,Diwali,high
Thoothukudi Port,drug abuse,1,2024,4,11,16,Ayudha Pooja,low
Tiruchendur Road,assault,2,2023,1,11,0,Vishu,low
Muthiahpuram,drug abuse,1,2024,10,30,1,Ayudha Pooja,low
Nazreth,theft,8,2023,6,12,8,Pongal,low
Thoothukudi Port,murder,4,2023,1,18,8,Diwali,high
Therespuram,theft,9,2023,12,28,0,New Year,high
Thoothukudi Port,robbery,4,2023,3,6,10,New Year,low
Kovilpillai Nagar,drug abuse,7,2024,2,12,18,Christmas,high
Thoothukudi Port,assault,10,2023,5,29,16,Diwali,high
Therespuram,drug abuse,1,2024,12,8,2,Pongal,low
Pearl City,assault,8,2024,10,6,8,New Year,low
Kovilpillai Nagar,theft,2,2024,7,12,15,,low
Tiruchendur Road,robbery,5,2024,4,29,0,Diwali,high
Bryant Nagar,robbery,7,2024,10,27,23,Ayudha Pooja,high
Millerpuram,vandalism,10,2024,4,7,23,New Year,low
Bryant Nagar,assault,4,2024,11,15,13,,low
Millerpuram,vandalism,4,2024,12,7,18,Christmas,low
New Colony,assault,9,2023,1,27,23,Ayudha Pooja,moderate
Muthiahpuram,harassment,8,2023,10,13,11,Diwali,high
Bryant Nagar,harassment,3,2024,12,11,16,Pongal,low
Muthiahpuram,murder,10,2024,3,14,19,Ayudha Pooja,moderate
Mattakadai,theft,3,2024,2,23,18,,moderate
New Colony,murder,10,2024,9,14,8,New Year,low
Victoria Extension,harassment,5,2024,11,3,13,Diwali,moderate
New Colony,harassment,4,2023,2,10,6,,moderate
Third Mile,robbery,1,2023,5,25,19,Ayudha Pooja,moderate
Kovilpillai Nagar,robbery,6,2024,11,26,5,,high
Kovilpillai Nagar,murder,8,2023,5,2,11,Ayudha Pooja,high
Therespuram,robbery,2,2023,5,8,19,,high
Victoria Extension,robbery,1,2024,7,13,17,Diwali,low
Nazreth,drug abuse,6,2024,11,19,4,Christmas,high
Millerpuram,vandalism,9,2023,4,30,16,,high
Nazreth,harassment,3,2023,9,27,10,Diwali,low
Tiruchendur Road,drug abuse,2,2023,5,23,17,Pongal,low
Beach Road,assault,5,2023,4,2,9,Diwali,low
Third Mile,theft,5,2024,4,12,6,,high
Victoria Extension,harassment,6,2024,12,30,16,Pongal,low
Mattakadai,theft,8,2024,5,14,17,Ayudha Pooja,moderate
Victoria Extension,drug abuse,4,2023,7,18,19,Diwali,high
Tiruchendur Road,assault,2,2024,5,6,2,Ayudha Pooja,low
Victoria Extension,robbery,10,2023,12,28,19,Diwali,moderate
Beach Road,drug abuse,10,2023,4,29,20,New Year,low
Pearl City,assault,3,2023,4,23,7,Pongal,moderate
Pearl City,vandalism,9,2024,11,9,22,Pongal,moderate
Bryant Nagar,assault,4,2024,12,31,7,Diwali,high
Nazreth,murder,4,2024,5,5,9,Ayudha Pooja,low
Therespuram,vandalism,7,2023,1,6,1,New Year,low
Athimarapatti,drug abuse,7,2024,1,7,14,Christmas,moderate
Muthiahpuram,assault,9,2024,5,4,22,Vishu,high
Muthiahpuram,assault,4,2023,5,4,7,Diwali,high
Pearl City,theft,3,2023,12,18,6,New Year,high
Pearl City,robbery,1,2023,1,18,7,Diwali,moderate
Muthiahpuram,vandalism,3,2024,3,15,18,Christmas,moderate
Millerpuram,drug abuse,3,2023,2,10,16,,moderate
Millerpuram,harassment,4,2024,11,6,13,Diwali,moderate
Millerpuram,theft,10,2024,3,20,23,New Year,moderate
Third Mile,assault,1,2023,7,8,6,New Year,high
Beach Road,theft,8,2024,8,25,16,Ayudha Pooja,high
Beach Road,vandalism,4,2023,10,29,4,,moderate
Kovilpillai Nagar,robbery,8,2023,6,16,0,New Year,low
Athimarapatti,vandalism,7,2023,12,22,18,New Year,high
Victoria Extension,drug abuse,5,2024,5,14,1,,high
New Colony,murder,2,2023,6,10,19,Pongal,moderate
Pearl City,theft,7,2023,3,7,3,Pongal,moderate
Thoothukudi Port,robbery,9,2023,8,19,23,Vishu,moderate
Beach Road,drug abuse,4,2023,10,10,11,Ayudha Pooja,moderate
Beach Road,vandalism,10,2023,10,26,14,Christmas,moderate
Bryant Nagar,drug abuse,8,2024,1,29,10,Vishu,high
Victoria Extension,drug abuse,5,2024,10,14,23,,moderate
Mattakadai,vandalism,3,2024,11,23,6,Ayudha Pooja,high
Muthiahpuram,assault,6,2024,5,18,2,Diwali,low
Mattakadai,drug abuse,5,2023,4,20,12,New Year,high
Pearl City,theft,3,2024,12,26,14,Ayudha Pooja,high
Muthiahpuram,vandalism,6,2024,4,5,13,Vishu,moderate
Third Mile,robbery,9,2024,10,3,7,New Year,high
Nazreth,theft,2,2023,1,4,21,,low
Mattakadai,harassment,5,2023,8,30,18,,low
Mattakadai,assault,3,2023,8,31,17,Ayudha Pooja,low
Millerpuram,murder,5,2023,6,18,21,Ayudha Pooja,high
Therespuram,murder,9,2024,6,23,16,Christmas,moderate
Thoothukudi Port,murder,6,2024,11,30,11,,moderate
Muthiahpuram,drug abuse,7,2023,2,15,12,,low
Victoria Extension,assault,7,2023,10,8,19,Diwali,moderate
Victoria Extension,murder,9,2024,7,16,22,Pongal,high
Beach Road,vandalism,1,2024,9,24,6,Pongal,moderate
Victoria Extension,assault,8,2024,4,24,9,Pongal,moderate
New Colony,harassment,9,2023,5,20,12,,high
Athimarapatti,murder,3,2024,10,21,2,Vishu,high
Muthiahpuram,theft,10,2023,9,12,23,Diwali,low
New Colony,assault,3,2024,5,31,23,Vishu,high
Third Mile,vandalism,3,2023,12,7,5,,low
Muthiahpuram,theft,9,2024,5,11,5,Pongal,high
Victoria Extension,harassment,7,2024,7,13,5,Diwali,low
Muthiahpuram,assault,10,2023,1,24,2,Vishu,low
Tiruchendur Road,robbery,5,2023,10,5,10,Ayudha Pooja,moderate
Tiruchendur Road,drug abuse,2,2023,7,21,6,Vishu,high
Bryant Nagar,robbery,8,2023,7,20,12,Ayudha Pooja,low
Athimarapatti,assault,2,2024,3,27,17,Pongal,moderate
Tiruchendur Road,harassment,8,2024,12,30,3,New Year,moderate
Tiruchendur Road,drug abuse,6,2023,5,27,4,Pongal,low
Nazreth,drug abuse,5,2023,12,3,1,Ayudha Pooja,moderate
Victoria Extension,murder,1,2024,3,18,0,Pongal,high
New Colony,robbery,8,2023,4,5,12,Vishu,low
Victoria Extension,robbery,10,2023,5,7,22,Pongal,low
Therespuram,robbery,2,2024,7,24,13,Pongal,moderate
Tiruchendur Road,robbery,9,2023,3,1,5,Ayudha Pooja,moderate
Millerpuram,drug abuse,6,2024,7,28,8,Ayudha Pooja,moderate
Tiruchendur Road,robbery,3,2024,2,5,23,Diwali,moderate
Therespuram,assault,5,2024,9,5,17,Pongal,moderate
Thoothukudi Port,vandalism,7,2024,7,22,8,,low
Victoria Extension,robbery,5,2023,12,1,8,,moderate
Millerpuram,harassment,9,2024,5,29,12,Ayudha Pooja,high
Bryant Nagar,robbery,1,2024,12,27,6,New Year,low
Pearl City,robbery,2,2023,7,8,14,Christmas,moderate
Tiruchendur Road,assault,1,2023,4,6,9,Ayudha Pooja,low
Bryant Nagar,harassment,5,2024,2,3,17,Diwali,low
Millerpuram,harassment,4,2024,6,16,9,New Year,moderate
Therespuram,robbery,8,2024,2,22,23,Diwali,moderate
Third Mile,robbery,6,2023,11,1,18,Pongal,low
New Colony,murder,2,2024,11,30,2,Vishu,high
Victoria Extension,drug abuse,5,2024,12,11,21,Pongal,moderate
Beach Road,murder,5,2024,4,9,14,,high
Mattakadai,robbery,3,2024,4,21,21,,low
Thoothukudi Port,robbery,9,2024,6,7,15,New Year,moderate
Nazreth,robbery,10,2023,7,3,15,Ayudha Pooja,low
Pearl City,robbery,5,2024,5,25,23,Diwali,moderate
Tiruchendur Road,drug abuse,9,2023,5,17,20,Vishu,low
Therespuram,assault,3,2023,4,28,1,New Year,moderate
New Colony,assault,8,2024,2,6,16,Christmas,high
Athimarapatti,vandalism,5,2023,9,16,11,Vishu,low
Bryant Nagar,robbery,3,2024,9,16,17,Diwali,moderate
Thoothukudi Port,harassment,1,2024,7,19,7,Diwali,high
Kovilpillai Nagar,murder,2,2024,7,15,2,Vishu,moderate
Thoothukudi Port,vandalism,2,2023,7,20,17,New Year,moderate
Pearl City,harassment,8,2024,6,5,17,Christmas,high
Tiruchendur Road,drug abuse,4,2023,6,8,5,Vishu,high
Victoria Extension,harassment,6,2024,7,15,0,Ayudha Pooja,low
Beach Road,robbery,10,2023,7,20,9,Vishu,moderate
Thoothukudi Port,murder,3,2023,4,20,13,New Year,moderate
Muthiahpuram,harassment,7,2024,4,23,6,Diwali,low
Third Mile,harassment,8,2024,8,19,4,Ayudha Pooja,low
Third Mile,theft,6,2024,8,9,5,Vishu,low
Third Mile,robbery,9,2024,11,27,19,New Year,low
Millerpuram,drug abuse,8,2024,6,17,19,Vishu,moderate
Muthiahpuram,assault,3,2023,12,7,21,New Year,high
New Colony,vandalism,1,2023,10,13,5,Pongal,low
Athimarapatti,vandalism,8,2024,1,23,4,,high
Muthiahpuram,vandalism,2,2024,11,11,1,,high
Third Mile,harassment,9,2023,10,15,21,Ayudha Pooja,low
Tiruchendur Road,vandalism,9,2024,8,14,22,Ayudha Pooja,low
Athimarapatti,assault,5,2024,3,27,1,Pongal,moderate
Therespuram,harassment,10,2024,1,6,16,,high
Athimarapatti,murder,6,2024,5,15,9,,high
Nazreth,theft,4,2023,7,21,2,,high
Nazreth,vandalism,1,2024,7,5,4,Christmas,moderate
Victoria Extension,murder,7,2023,5,26,10,Vishu,moderate
Beach Road,assault,3,2024,10,8,11,Pongal,low
New Colony,murder,10,2023,5,5,11,Ayudha Pooja,moderate
Mattakadai,drug abuse,10,2023,2,22,15,,moderate
Therespuram,vandalism,6,2024,4,27,9,,low
New Colony,robbery,2,2023,2,14,5,Diwali,high
Victoria Extension,assault,4,2023,5,15,19,Diwali,high
Athimarapatti,harassment,10,2023,12,3,20,New Year,high
Nazreth,drug abuse,6,2024,11,26,18,Vishu,moderate
Athimarapatti,drug abuse,4,2024,2,22,14,Christmas,moderate
Muthiahpuram,vandalism,6,2023,12,29,16,Vishu,low
Tiruchendur Road,robbery,3,2024,10,22,23,Pongal,high
Victoria Extension,assault,2,2023,4,5,11,Vishu,moderate
Millerpuram,assault,1,2023,3,4,13,Diwali,low
Athimarapatti,vandalism,10,2024,3,16,19,Pongal,high
Bryant Nagar,assault,8,2023,8,14,8,New Year,low
Thoothukudi Port,harassment,9,2023,1,27,8,Vishu,moderate
Therespuram,assault,2,2024,5,22,3,Diwali,moderate
Therespuram,robbery,10,2024,3,22,9,Ayudha Pooja,low
Third Mile,theft,4,2024,2,19,2,New Year,moderate
Mattakadai,harassment,5,2023,6,14,3,,high
Pearl City,theft,8,2023,1,18,5,New Year,low
Kovilpillai Nagar,theft,8,2024,10,26,11,Pongal,low
Nazreth,robbery,7,2023,8,8,12,Diwali,low
Thoothukudi Port,vandalism,1,2024,8,25,4,Christmas,high
Third Mile,murder,9,2023,2,14,4,New Year,high
Millerpuram,drug abuse,3,2023,12,27,20,Pongal,low
Victoria Extension,murder,1,2024,3,17,16,Diwali,low
New Colony,assault,4,2023,11,22,14,New Year,moderate
Millerpuram,harassment,6,2024,3,17,2,New Year,high
Third Mile,harassment,7,2023,10,16,2,Diwali,high
Nazreth,harassment,10,2023,1,3,10,Diwali,low
Therespuram,robbery,2,2023,2,14,15,Pongal,low
Kovilpillai Nagar,theft,3,2023,2,12,20,Pongal,moderate
Victoria Extension,robbery,7,2024,11,17,8,New Year,high
Athimarapatti,vandalism,2,2024,6,21,3,Vishu,moderate
Beach Road,robbery,1,2023,7,25,7,Diwali,moderate
Pearl City,robbery,2,2024,11,28,22,Vishu,low
Pearl City,murder,4,2024,7,23,19,Pongal,moderate
Thoothukudi Port,harassment,3,2024,9,19,7,Pongal,moderate
Beach Road,murder,4,2024,8,14,15,New Year,moderate
Thoothukudi Port,vandalism,1,2024,12,25,15,Christmas,high
Muthiahpuram,assault,8,2024,5,21,0,Christmas,high
Kovilpillai Nagar,assault,6,2023,7,14,11,Christmas,low
Thoothukudi Port,drug abuse,4,2024,1,17,5,Vishu,moderate
Nazreth,theft,7,2023,1,5,23,Pongal,moderate
Mattakadai,robbery,10,2023,7,29,3,New Year,low
Third Mile,robbery,2,2024,1,17,7,Christmas,high
Bryant Nagar,vandalism,10,2024,8,20,10,Ayudha Pooja,high
Third Mile,robbery,3,2023,6,8,16,,moderate
Mattakadai,harassment,3,2023,2,15,20,Christmas,low
Victoria Extension,vandalism,8,2023,9,25,14,Diwali,low
Nazreth,theft,5,2024,11,25,22,Vishu,low
New Colony,robbery,4,2024,10,22,13,Ayudha Pooja,low
Tiruchendur Road,drug abuse,5,2024,8,2,21,,low
Muthiahpuram,drug abuse,3,2024,1,24,9,Diwali,high
Athimarapatti,murder,2,2023,5,15,9,Ayudha Pooja,moderate
Pearl City,harassment,6,2023,9,15,5,Vishu,moderate
Pearl City,harassment,9,2024,8,3,14,Ayudha Pooja,moderate
Athimarapatti,robbery,9,2023,5,22,7,Diwali,high
Mattakadai,murder,9,2023,3,21,12,Diwali,moderate
Beach Road,vandalism,1,2023,4,26,12,New Year,low
Kovilpillai Nagar,vandalism,7,2023,10,6,23,Vishu,low
Bryant Nagar,robbery,10,2024,11,10,11,Christmas,moderate
Victoria Extension,drug abuse,8,2024,3,18,20,,moderate
Bryant Nagar,vandalism,9,2024,11,18,17,Diwali,moderate
Mattakadai,assault,5,2023,7,13,3,Ayudha Pooja,moderate
Athimarapatti,theft,8,2024,8,24,5,Vishu,moderate
Beach Road,drug abuse,6,2024,7,30,9,,moderate
Therespuram,theft,1,2024,6,23,6,Diwali,moderate
New Colony,robbery,5,2023,11,13,6,,low
Beach Road,robbery,1,2024,4,4,11,Diwali,high
Beach Road,harassment,7,2024,12,9,20,Diwali,low
Millerpuram,drug abuse,10,2024,12,15,23,,low
Beach Road,harassment,4,2023,8,11,3,Diwali,low
Tiruchendur Road,drug abuse,3,2024,7,27,8,Vishu,moderate
Tiruchendur Road,theft,8,2024,1,22,0,Christmas,low
Victoria Extension,vandalism,1,2024,11,27,11,Christmas,high
Thoothukudi Port,drug abuse,6,2024,7,18,5,Christmas,low
Beach Road,harassment,10,2024,4,14,22,Christmas,low
Victoria Extension,assault,6,2023,8,30,19,Vishu,high
Millerpuram,vandalism,2,2023,2,21,19,Vishu,high
Millerpuram,robbery,2,2024,2,7,8,Vishu,low
New Colony,vandalism,5,2023,6,8,5,Vishu,moderate
Muthiahpuram,theft,8,2023,10,22,1,New Year,moderate
Muthiahpuram,harassment,9,2024,5,3,3,New Year,moderate
Bryant Nagar,murder,10,2024,5,21,5,Ayudha Pooja,low
Mattakadai,harassment,10,2024,6,7,6,New Year,moderate
Thoothukudi Port,robbery,9,2023,5,11,5,Pongal,high
Beach Road,vandalism,5,2023,5,16,16,Diwali,moderate
Thoothukudi Port,assault,7,2024,4,6,13,Ayudha Pooja,high
Muthiahpuram,vandalism,3,2024,1,14,3,Vishu,moderate
Kovilpillai Nagar,assault,9,2024,3,30,10,New Year,low
Muthiahpuram,vandalism,8,2024,12,22,13,Diwali,high
Nazreth,theft,4,2024,1,30,21,Diwali,moderate
Tiruchendur Road,drug abuse,8,2024,4,9,14,New Year,high
Third Mile,harassment,3,2024,7,13,10,Christmas,moderate
New Colony,assault,10,2024,2,28,21,,moderate
Thoothukudi Port,murder,8,2023,4,8,20,Pongal,high
Tiruchendur Road,harassment,9,2024,9,21,9,Diwali,moderate
Therespuram,harassment,1,2024,5,24,23,New Year,high
Mattakadai,theft,3,2024,11,15,19,Ayudha Pooja,moderate
Third Mile,robbery,8,2023,1,12,14,New Year,moderate
Kovilpillai Nagar,drug abuse,10,2023,1,5,14,Vishu,moderate
Bryant Nagar,drug abuse,7,2023,2,19,21,,high
Mattakadai,drug abuse,6,2024,6,20,13,Christmas,high
Victoria Extension,harassment,8,2024,7,12,1,Diwali,low
Athimarapatti,harassment,2,2024,6,22,4,New Year,low
Third Mile,assault,4,2023,2,22,8,New Year,moderate
Victoria Extension,robbery,1,2024,10,18,20,Ayudha Pooja,low
Beach Road,drug abuse,1,2024,5,11,21,Pongal,low
Muthiahpuram,theft,9,2024,10,17,12,,high
Muthiahpuram,robbery,4,2024,9,6,5,Diwali,low
Millerpuram,theft,7,2024,12,24,21,,moderate
Victoria Extension,murder,10,2024,12,8,0,Christmas,high
Beach Road,theft,1,2024,7,14,9,Pongal,moderate
Therespuram,murder,6,2024,10,27,20,,high
Bryant Nagar,assault,4,2024,10,4,16,,low
Athimarapatti,assault,6,2023,4,10,9,Diwali,low
Therespuram,murder,7,2024,5,16,8,,high
Bryant Nagar,drug abuse,1,2024,8,11,17,New Year,low
Athimarapatti,theft,6,2023,5,29,4,Pongal,high
Athimarapatti,harassment,2,2024,12,20,9,Ayudha Pooja,low
Athimarapatti,murder,2,2024,5,8,4,Vishu,low
Pearl City,drug abuse,8,2023,1,6,13,New Year,moderate
Tiruchendur Road,drug abuse,4,2023,3,3,4,New Year,moderate
Kovilpillai Nagar,robbery,6,2023,8,3,22,Ayudha Pooja,low
Nazreth,drug abuse,1,2024,3,24,9,Diwali,low
Millerpuram,assault,9,2024,12,12,7,Vishu,moderate
Third Mile,robbery,2,2023,3,30,22,Ayudha Pooja,moderate
Beach Road,assault,8,2023,6,1,23,Pongal,high
Mattakadai,robbery,3,2023,1,30,19,,low
Nazreth,drug abuse,5,2023,4,11,13,Vishu,moderate
Beach Road,murder,8,2023,2,27,20,New Year,moderate
Muthiahpuram,robbery,6,2024,10,4,15,,low
Victoria Extension,drug abuse,1,2024,4,29,13,Christmas,low
Tiruchendur Road,robbery,7,2023,1,28,19,Christmas,moderate
Third Mile,vandalism,7,2023,5,29,5,Christmas,high
Thoothukudi Port,theft,9,2024,2,26,7,New Year,high
Athimarapatti,harassment,7,2023,9,8,9,Pongal,high
Pearl City,vandalism,5,2023,12,26,2,Ayudha Pooja,moderate
Tiruchendur Road,theft,1,2024,1,27,14,Pongal,high
Beach Road,assault,5,2024,8,27,4,Christmas,high
Victoria Extension,drug abuse,2,2023,5,12,22,Pongal,moderate
Nazreth,murder,5,2023,2,17,16,Vishu,moderate
Pearl City,harassment,9,2023,9,20,10,New Year,low
Pearl City,theft,3,2024,10,14,21,,high
Victoria Extension,vandalism,7,2024,2,14,6,Ayudha Pooja,low
Third Mile,murder,8,2024,8,2,8,,high
New Colony,drug abuse,5,2024,2,24,2,Christmas,high
Muthiahpuram,drug abuse,8,2023,2,19,23,,low
Nazreth,murder,8,2023,5,15,18,Ayudha Pooja,low
Mattakadai,vandalism,8,2023,6,27,9,Diwali,moderate
Nazreth,drug abuse,5,2024,9,9,13,Pongal,high
Victoria Extension,murder,9,2024,11,9,11,New Year,moderate
Mattakadai,vandalism,5,2024,1,31,15,,moderate
Therespuram,vandalism,1,2024,5,30,8,Christmas,moderate
New Colony,assault,5,2023,4,27,20,Pongal,high
Mattakadai,robbery,3,2023,6,12,9,Vishu,high
Thoothukudi Port,theft,4,2023,7,7,13,Vishu,low
Mattakadai,drug abuse,5,2023,7,17,19,Ayudha Pooja,high
Victoria Extension,assault,2,2024,11,17,1,Ayudha Pooja,moderate
Thoothukudi Port,vandalism,4,2023,7,7,2,Christmas,moderate
Athimarapatti,murder,10,2023,6,6,9,Christmas,low
Millerpuram,robbery,1,2024,9,20,11,New Year,low
Muthiahpuram,vandalism,1,2023,11,26,3,New Year,high
Therespuram,harassment,7,2024,9,11,4,New Year,moderate
Tiruchendur Road,murder,1,2024,7,4,3,Vishu,low
Victoria Extension,harassment,2,2024,9,23,23,Christmas,high
Millerpuram,murder,7,2023,5,23,14,Diwali,moderate
Millerpuram,vandalism,3,2023,12,18,12,Pongal,moderate
Nazreth,drug abuse,3,2024,1,30,16,Vishu,low
Bryant Nagar,vandalism,9,2024,1,19,12,Ayudha Pooja,moderate
Thoothukudi Port,murder,9,2024,3,17,12,Pongal,high
Bryant Nagar,drug abuse,2,2024,1,19,6,New Year,high
Nazreth,drug abuse,10,2024,7,18,13,Diwali,moderate
Kovilpillai Nagar,harassment,4,2024,10,1,19,Pongal,high
Millerpuram,theft,10,2024,8,4,18,Ayudha Pooja,low
Beach Road,harassment,4,2023,7,23,13,Diwali,high
Pearl City,harassment,9,2024,7,28,9,New Year,moderate
